question,Review,question_type,difficulty,source_file,question_id
Πόσο είναι το ποσό του κοινωνικού μερίσματος που διατίθεται για το έτος 2013;,Reject,factual,easy,doc-7610,1
Πώς υπολογίζεται το ύψος της εφάπαξ χρηματικής ενίσχυσης που καταβάλλεται στα στελέχη των Ενόπλων Δυνάμεων με μεικτές αποδοχές πάνω από 1.500 ευρώ;,Accept,factual,medium,doc-7610,2
"Ποια είναι η προθεσμία ολοκλήρωσης της ανάθεσης προγραμμάτων στέγασης και σίτισης αστέγων από το Υπουργείο Εργασίας, και μπορεί να παραταθεί αυτή η προθεσμία;",Accept,factual,medium,doc-7610,3
Ποιος είναι ο ανώτατος επιτρεπτός όρος χρηματοδότησης δανείων προς φυσικά πρόσωπα σύμφωνα με την ΠΔ/ΤΕ 1955/2.7.91;,Reject,factual,medium,doc-68406,4
Γιατί οι γυναίκες υποψήφιοι καλύπτουν μόνο το 10% των θέσεων στο Τμήμα Ανθυποπυραγών της Πυροσβεστικής Ακαδημίας και πώς γίνεται η αλληλοσυμπλήρωση των φύλων αν δεν καλυφθεί το ποσοστό τους;,Reject,factual,medium,doc-68406,5
"Τι συμβαίνει αν ο Δήμος Μακρακώμης παραλείψει να ασκήσει τις αρμοδιότητες πολεοδομικών εφαρμογών που του έχουν μεταβιβαστεί, και ποια υπηρεσία υπερισχύει σε περίπτωση ταυτόχρονης ενέργειας;",Accept,factual,medium,doc-68406,6
Ποια είναι η έδρα της 4ης Υγειονομικής Περιφέρεια;,Accept,factual,easy,doc-4093,7
Γιατί οι Διοικητές και Αναπληρωτές Διοικητές των νοσοκομείων πρέπει να είναι πτυχιούχοι ΑΕΙ ή ΑΤΕΙ και ποια κριτήρια συνεκτιμώνται κατά τον διορισμό τους;,Reject,factual,medium,doc-4093,8
"Εάν η Επιτροπή Προμηθειών Υγείας δεν εγκρίνει το Συνολικό Πρόγραμμα Προμηθειών Προϊόντων και Υπηρεσιών για το έτος 2013 μέχρι 30 Ιουνίου, ποια αρχή είναι υπεύθυνη για την ολοκλήρωση των διαδικασιών σύναψης και εκτέλεσης των συμβάσεων προμηθειών που εκκρεμούν;",Reject,factual,medium,doc-4093,9
Πόσο χρονικό διάστημα ισχύει η άδεια ίδρυσης ιδιωτικής κλινικής από την έκδοσή της;,Accept,factual,easy,doc-4292,10
Ποια είναι η επωνυμία της ενιαίας επιχείρησης ύδρευσης και αποχέτευσης που συστήνεται στον Δήμο Ερμούπολης;,Accept,factual,easy,doc-69090,11
Γιατί η παραχώρηση του μεταλλείου νικελίου στην εταιρεία ΛΑΡΚΟ ισχύει για πενήντα χρόνια και υπό ποιες προϋποθέσεις μπορεί να ανανεωθεί;,Reject,factual,medium,doc-69090,12
"Πώς επηρεάζει η σύνθεση του διοικητικού συμβουλίου της Δημοτικής Επιχείρησης Ύδρευσης - Αποχέτευσης Ερμούπολης τη λήψη αποφάσεων, ειδικά όταν υπάρχει εκπρόσωπος των εργαζομένων και μειοψηφία στο Δημοτικό Συμβούλιο;",Accept,analytical,hard,doc-69090,13
Ποια είναι η έδρα του Διεθνούς Πανεπιστημίου της Ελλάδος (ΔΙ.ΠΑ.Ε.) και πότε ξεκίνησε η ακαδημαϊκή του λειτουργία;,Accept,factual,easy,doc-6449,14
Γιατί η απόφαση της Συγκλήτου για την έναρξη λειτουργίας ορισμένων Τμημάτων του ΔΙ.ΠΑ.Ε. πρέπει να εκδίδεται έως τις 30 Απριλίου του προηγούμενου έτους και ποια είναι η σημασία της αποκλειστικής αυτής προθεσμίας;,Accept,analytical,medium,doc-6449,15
"Αν μέλος Δ.Ε.Π. του Τ.Ε.Ι. Κεντρικής Μακεδονίας δεν υποβάλει αίτηση ένταξης σε Τμήμα του ΔΙ.ΠΑ.Ε. εντός των προβλεπόμενων προθεσμιών, πώς γίνεται η ένταξή του και ποια είναι τα κριτήρια που λαμβάνονται υπόψη για την απόφαση της Διοικούσας Επιτροπής;",Accept,factual,medium,doc-6449,16
Ποιος είναι ο αρμόδιος δικαστής για τη δημοσίευση μιας ιδιόγραφης διαθήκης στην Ελλάδα;,Accept,factual,easy,doc-4910,17
"Γιατί η άσκηση ανακοπής κατά διαταγής πληρωμής δεν αναστέλλει την εκτέλεση της διαταγής, και υπό ποιες προϋποθέσεις μπορεί το δικαστήριο να χορηγήσει αναστολή;",Accept,factual,medium,doc-4910,18
"Αν η εταιρεία μου καθυστερήσει να καταβάλει το ΦΠΑ και ασκηθεί ανακοπή κατά της διαταγής πληρωμής, πώς υπολογίζεται ο τόκος επιδικίας και ποια είναι τα δικαιώματα του οφειλέτη σχετικά με την αναστολή της εκτέλεσης;",Accept,analytical,hard,doc-4910,19
Ποια είναι η ημερομηνία που πρέπει να οριστεί τουλάχιστον 30 ημέρες πριν από την ψηφοφορία για την εκλογή των μελών του Ευρωπαϊκού Κοινοβουλίου;,Reject,factual,easy,doc-7951,20
Γιατί απαιτείται η κατάθεση χρηματικού ποσού από κάθε κόμμα ή συνασπισμό κομμάτων για την πρόταση υποψηφίων στο Ευρωπαϊκό Κοινοβούλιο και πότε επιστρέφεται αυτό το ποσό;,Accept,factual,medium,doc-7951,21
"Αν ένα μέλος του Ευρωπαϊκού Κοινοβουλίου στερηθεί τα προσόντα εκλογιμότητας μετά την εκλογή του, ποια είναι η διαδικασία που ακολουθείται για την πλήρωση της κενής έδρας και υπό ποιες προϋποθέσεις δεν διενεργείται αναπληρωματική εκλογή;",Accept,factual,medium,doc-7951,22
Ποια είναι η έδρα του νέου Δημοτικού Λιμενικού Ταμείου Νότιας Κυνουρίας;,Accept,factual,easy,doc-74244,23
Γιατί τα ειδικά άμισθα υποθηκοφυλακεία όπως αυτό των Αχαρνών μετατρέπονται σε έμμισθα και ποια είναι η σημασία αυτής της αλλαγής στη λειτουργία τους;,Reject,analytical,medium,doc-74244,24
"Αν η εταιρεία μου δραστηριοποιείται στην περιοχή της Κηφισιάς, πόσες οργανικές θέσεις κατηγορίας ΠΕ και ΔΕ προβλέπονται στο έμμισθο υποθηκοφυλακείο Κηφισιάς και πώς μπορεί αυτό να επηρεάσει την ταχύτητα διεκπεραίωσης των υποθηκοφυλακικών πράξεων;",Accept,inferential,medium,doc-74244,25
Ποιος είναι ο αρμόδιος φορέας για την έκδοση της άδειας λειτουργίας κτηνιατρικών φαρμακευτικών καταστημάτων;,Accept,factual,medium,doc-9310,26
Γιατί επιβάλλεται διοικητικό πρόστιμο και ανάκληση άδειας σε περίπτωση επανάληψης παράβασης σχετικά με την πώληση κτηνιατρικών φαρμακευτικών προϊόντων χωρίς κτηνιατρική συνταγή;,Accept,analytical,medium,doc-9310,27
"Πώς επηρεάζει η μη συμμόρφωση με τις απαιτήσεις σήμανσης της χώρας καταγωγής και τη χρήση ενδείξεων Π.Ο.Π., Π.Γ.Ε. ή βιολογικών προϊόντων την επιβολή διοικητικών και ποινικών κυρώσεων σε μια επιχείρηση τροφίμων, και ποια κριτήρια λαμβάνονται υπόψη για την αξιολόγηση της βαρύτητας της παράβασης;",Accept,analytical,hard,doc-9310,28
Ποιος είναι ο αρμόδιος φορέας για την έκδοση των καρτών ταχογράφου στην Ελλάδα;,Accept,factual,easy,doc-3992,29
"Γιατί η Αρχή Συντονισμού Πτήσεων πρέπει να συλλέγει και να προστατεύει τα τεχνικά, οικονομικά και εμπορικά στοιχεία των αερομεταφορέων υπό όρους εχεμύθειας;",Reject,analytical,medium,doc-3992,30
"Ποια είναι η διαδικασία και ποιες οι συνέπειες αν μια μεταφορική επιχείρηση καθυστερήσει την καταβολή του ανταποδοτικού τέλους προς την Αρχή Συντονισμού Πτήσεων, και πώς επηρεάζει αυτό τη λειτουργία της Αρχής;",Accept,inferential,hard,doc-3992,31
Ποια είναι η ημερομηνία δημοσίευσης του Προεδρικού Διατάγματος για τη σύσταση της Δημοτικής Επιχείρησης Ύδρευσης - Αποχέτευσης Λέρου;,Reject,factual,easy,doc-68053,32
Γιατί η Δημοτική Επιχείρηση Ύδρευσης - Αποχέτευσης Λέρου επιβάλλει ειδικό τέλος 80% επί της αξίας του νερού που καταναλώνεται για δέκα χρόνια από τη σύστασή της;,Reject,factual,medium,doc-68053,33
"Αν ο Πιστωτικός Συνεταιρισμός «ΑΧΑΪΚΗ ΠΙΣΤΗ ΣΥΝ.ΠΕ» δεν αναγγείλει στην Τράπεζα της Ελλάδος την έναρξη λειτουργίας του ως πιστωτικού ιδρύματος εντός 15 ημερών, ποιες συνέπειες προβλέπονται;",Reject,factual,medium,doc-68053,34
Ποιος είναι ο αρμόδιος φορέας για την εγγραφή μεσιτών αστικών συμβάσεων;,Accept,factual,easy,doc-30773,35
Γιατί απαιτείται πιστοποιητικό ποινικού μητρώου για την εγγραφή ως εμπορικός αντιπρόσωπος και ποια εγκλήματα αναφέρονται ρητά στο έγγραφο;,Reject,factual,medium,doc-30773,36
"Αν μια εταιρεία εμπορικών αντιπροσώπων δεν προσκομίσει τα έγγραφα νομιμοποίησης και εκπροσώπησης για την εγγραφή της στο Επιμελητήριο, ποιες συνέπειες προβλέπονται;",Accept,inferential,medium,doc-30773,37
Ποιο είναι το ετήσιο κόστος λειτουργίας των εργαστηρίων στο Τμήμα Λογιστικής και Χρηματοοικονομικής του Οικονομικού Πανεπιστημίου Αθηνών;,Accept,factual,easy,doc-70634,38
Γιατί ο διευθυντής του εργαστηρίου πρέπει να ενημερώνεται πριν από τη διεξαγωγή κάθε εργασίας που γίνεται στα πλαίσια ερευνητικού προγράμματος ή άλλου έργου;,Reject,factual,medium,doc-70634,39
Πώς επηρεάζει η συγχώνευση του Κλάδου Επικουρικής Ασφάλισης του Τ.Ε.Α.Π.Α.Ε.Λ. στον Τομέα Επικουρικής Ασφάλισης Μισθωτών του Ι.Κ.Α. τα συνταξιοδοτικά δικαιώματα των ασφαλισμένων που προέρχονται από τον συγχωνευόμενο κλάδο;,Accept,factual,hard,doc-70634,40
Πόσα μέλη μπορεί να έχει ένας Ευρωπαϊκός Όμιλος Οικονομικού Σκοπού;,Accept,factual,easy,doc-26090,41
Γιατί η δημοσίευση της περίληψης της συστατικής σύμβασης ενός Ευρωπαϊκού Ομίλου Οικονομικού Σκοπού πρέπει να γίνει μέσα σε ένα μήνα από την καταχώριση του στο ειδικό βιβλίο;,Reject,inferential,medium,doc-26090,42
"Σε περίπτωση που η Δημόσια Επιχείρηση Αερίου (ΔΕΠΑ) χορηγεί ειδικής φύσεως υλικά σε ανάδοχο έργου και αυτός αρνηθεί να καταθέσει εγγυητική επιστολή εντός 10 ημερών από την ειδοποίηση, ποιες είναι οι συνέπειες για τον ανάδοχο;",Accept,factual,medium,doc-26090,43
Πότε αρχίζει να ισχύει το Προεδρικό Διάταγμα για την κατάργηση της Μόνιμης Αντιπροσωπείας της Ελλάδας στη Δυτικοευρωπαϊκή Ένωση;,Accept,factual,easy,doc-73345,44
"Γιατί καταργούνται τα Γενικά Προξενεία Βρυξελλών, Λονδίνου και Παρισίων και αντικαθίστανται από Προξενικά Γραφεία στις Πρεσβείες τους σύμφωνα με το Π.Δ. 57;",Reject,inferential,medium,doc-73345,45
"Πώς επηρεάζει η ανακατανομή των περιφερειών αρμοδιότητας των προξενικών αρχών στη Γερμανία, τη διαχείριση των ελληνικών προξενικών υπηρεσιών και ποιες είναι οι πιθανές συνέπειες για την εξυπηρέτηση των πολιτών;",Accept,analytical,hard,doc-73345,46
Ποιος είναι ο φορέας που ασκεί προληπτικό έλεγχο στις δαπάνες του Δήμου Αμβρακικού;,Accept,factual,easy,doc-72519,47
Γιατί εξαιρούνται από τον προληπτικό έλεγχο οι δαπάνες πληρωμής αποδοχών των τακτικών υπαλλήλων στους φορείς του Δήμου Αμβρακικού και του Οργανισμού Αθλητικών Κέντρων Δήμου Καρδίτσας;,Reject,analytical,medium,doc-72519,48
"Αν ένας επιχειρηματίας θέλει να ιδρύσει νέα ενορία στον Δήμο Μαρκοπούλου Μεσογαίας, ποια είναι τα βασικά στάδια που πρέπει να έχουν ολοκληρωθεί πριν την έκδοση του προεδρικού διατάγματος;",Reject,inferential,medium,doc-72519,49
